Code,Name,Ticker,Sector,Market,Has_6Y_Data,Has_5Y_Data,Data_Start,Data_End,Avg_Return,Duration_Days
79,ALDRICH RESOURCES BERHAD,0079.KL,,ACE,True,True,2018-01-02,2025-12-02,0.0031651545536486143,2891
68,ASDION BERHAD,0068.KL,,ACE,True,True,2018-01-02,2025-12-02,0.002509422793088431,2891
187,BCM ALLIANCE BERHAD,0187.KL,,ACE,True,True,2018-01-02,2025-12-02,0.015815649217253716,2891
152,DGB ASIA BERHAD,0152.KL,,ACE,True,True,2018-01-02,2025-12-01,0.008703211003773756,2890
154,EA HOLDINGS BERHAD,0154.KL,,ACE,True,True,2018-01-02,2025-12-02,0.042403313252117256,2891
107,EDUSPEC HOLDINGS BERHAD,0107.KL,,ACE,True,True,2018-01-02,2025-12-01,0.008982220549516409,2890
72,ERDASAN GROUP BERHAD,0072.KL,,ACE,True,True,2018-01-02,2025-12-02,0.015738892961586683,2891
150,FINTEC GLOBAL BERHAD,0150.KL,,ACE,True,True,2018-01-02,2025-12-01,0.030223746331579725,2890
116,FOCUS DYNAMICS GROUP BERHAD,0116.KL,,ACE,True,True,2018-01-02,2025-12-02,0.015503524294756875,2891
74,GREEN OCEAN CORPORATION BERHAD,0074.KL,,ACE,True,True,2018-01-02,2025-12-02,0.0060088953535849,2891
36,KEY ALLIANCE GROUP BERHAD,0036.KL,,ACE,True,True,2018-01-02,2025-12-02,0.043878715137671394,2891
18,LAMBO GROUP BERHAD,0018.KL,,ACE,True,True,2018-01-02,2025-12-01,0.002906003785134431,2890
103,M N C WIRELESS BERHAD,0103.KL,,ACE,True,True,2018-01-02,2025-12-01,0.004635194768538031,2890
85,MLABS SYSTEMS BERHAD,0085.KL,,ACE,True,True,2018-01-02,2025-12-02,0.007230920540107772,2891
34,MMAG HOLDINGS BERHAD,0034.KL,,ACE,True,True,2018-01-02,2025-12-02,0.0037883229491692586,2891
70,MQ TECHNOLOGY BERHAD,0070.KL,,ACE,True,True,2018-01-02,2025-12-01,0.004298166290449019,2890
92,MTOUCHE TECHNOLOGY BERHAD,0092.KL,,ACE,True,True,2018-01-02,2025-12-02,0.003322880648382533,2891
96,NEXGRAM HOLDINGS BERHAD,0096.KL,,ACE,True,True,2018-01-02,2025-12-02,0.01567806559519096,2891
177,PASUKHAS GROUP BERHAD,0177.KL,,ACE,True,True,2018-01-02,2025-12-02,0.0032628980241920925,2891
133,SANICHI TECHNOLOGY BERHAD,0133.KL,,ACE,True,True,2018-01-02,2025-12-02,0.0031771091788835343,2891
109,SC ESTATE BUILDER BERHAD,0109.KL,,ACE,True,True,2018-01-02,2025-12-02,0.013015910788440348,2891
169,SMTRACK BERHAD,0169.KL,,ACE,True,True,2018-01-02,2025-12-01,0.0036667709761813955,2890
66,VSOLAR GROUP BERHAD,0066.KL,,ACE,True,True,2018-01-02,2025-12-02,0.023360337248807612,2891
165,XOX BHD,0165.KL,,ACE,True,True,2018-01-02,2025-12-02,0.009395433467619192,2891
140,XOX NETWORKS BERHAD,0140.KL,,ACE,True,True,2018-01-02,2025-12-02,0.0042591668418489196,2891
94,ZEN TECH INTERNATIONAL BERHAD,0094.KL,,ACE,True,True,2018-01-02,2025-12-02,0.02254456908524294,2891
