Date,Price,Open,High,Low,Change %
2015-01-01,4.136,4.136,4.136,4.136,0.00%
2015-01-02,4.133,4.127,4.133,4.127,-0.07%
2015-01-04,4.133,4.133,4.133,4.133,0.00%
2015-01-05,4.197,4.162,4.203,4.162,1.55%
2015-01-06,4.187,4.2,4.285,4.187,-0.24%
2015-01-07,4.287,4.187,4.287,4.187,2.39%
2015-01-08,4.191,4.216,4.229,4.191,-2.24%
2015-01-09,4.141,4.174,4.181,4.141,-1.19%
2015-01-11,4.141,4.141,4.141,4.141,0.00%
2015-01-12,4.11,4.142,4.142,4.098,-0.75%
2015-01-13,4.01,4.107,4.11,4.009,-2.43%
2015-01-14,3.99,4.005,4.005,3.974,-0.50%
2015-01-15,3.961,3.98,3.98,3.96,-0.73%
2015-01-16,3.917,3.939,3.939,3.917,-1.11%
2015-01-18,3.917,3.917,3.917,3.917,0.00%
2015-01-19,3.936,3.92,3.945,3.92,0.49%
2015-01-20,3.939,3.939,3.942,3.939,0.08%
2015-01-21,3.968,3.951,3.984,3.95,0.74%
2015-01-22,3.957,3.959,3.959,3.954,-0.28%
2015-01-23,3.94,3.951,3.953,3.94,-0.43%
2015-01-25,3.94,3.94,3.94,3.94,0.00%
2015-01-26,3.911,3.926,3.932,3.897,-0.74%
2015-01-27,3.907,3.911,3.911,3.907,-0.10%
2015-01-28,3.863,3.902,3.902,3.862,-1.13%
2015-01-29,3.861,3.862,3.867,3.858,-0.05%
2015-01-30,3.809,3.856,3.856,3.809,-1.35%
2015-02-01,3.809,3.809,3.809,3.809,0.00%
2015-02-02,3.809,3.809,3.809,3.809,0.00%
2015-02-03,3.809,3.809,3.809,3.809,0.00%
2015-02-04,3.765,3.806,3.806,3.765,-1.16%
2015-02-05,3.754,3.765,3.765,3.754,-0.29%
2015-02-06,3.774,3.754,3.774,3.754,0.53%
2015-02-08,3.774,3.774,3.774,3.774,0.00%
2015-02-09,3.799,3.793,3.799,3.78,0.66%
2015-02-10,3.818,3.799,3.818,3.799,0.50%
2015-02-11,3.852,3.818,3.853,3.818,0.89%
2015-02-12,3.88,3.852,3.883,3.852,0.73%
2015-02-13,3.868,3.877,3.877,3.868,-0.31%
2015-02-15,3.868,3.868,3.868,3.868,0.00%
2015-02-16,3.9,3.87,3.912,3.869,0.83%
2015-02-17,3.886,3.901,3.901,3.886,-0.36%
2015-02-18,3.88,3.892,3.892,3.877,-0.15%
2015-02-19,3.88,3.88,3.88,3.88,0.00%
2015-02-23,3.883,3.886,3.886,3.876,0.08%
2015-02-24,3.881,3.886,3.886,3.874,-0.05%
2015-02-25,3.874,3.874,3.877,3.865,-0.18%
2015-02-26,3.864,3.868,3.869,3.858,-0.26%
2015-02-27,3.869,3.865,3.87,3.865,0.13%
2015-03-01,3.881,3.881,3.881,3.881,0.31%
2015-03-02,3.883,3.879,3.883,3.879,0.05%
2015-03-03,3.89,3.883,3.89,3.883,0.18%
2015-03-04,3.907,3.898,3.907,3.895,0.44%
2015-03-05,3.913,3.907,3.913,3.907,0.15%
2015-03-06,3.911,3.913,3.913,3.911,-0.05%
2015-03-08,3.911,3.911,3.911,3.911,0.00%
2015-03-09,3.958,3.948,3.958,3.821,1.20%
2015-03-10,3.964,3.961,3.965,3.958,0.15%
