Code,Name,Ticker,Sector,Market,Has_6Y_Data,Has_5Y_Data,Data_Start,Data_End
5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250.KL,,Main,True,True,2018-01-02,2025-12-01
7214,A-RANK BERHAD,7214.KL,,Main,True,True,2018-01-02,2025-12-01
7086,ABLEGROUP BERHAD,7086.KL,,Main,True,True,2018-01-02,2025-12-01
5198,ABM FUJIYA BERHAD,5198.KL,,Main,True,True,2018-01-02,2025-12-01
7131,ACME HOLDINGS BERHAD,7131.KL,,Main,True,True,2018-01-02,2025-12-02
7120,ACOUSTECH BERHAD,7120.KL,,Main,True,True,2018-01-02,2025-12-02
1481,ADVANCE SYNERGY BERHAD,1481.KL,,Main,True,True,2018-01-02,2025-12-02
5281,ADVANCECON HOLDINGS BERHAD,5281.KL,,Main,True,True,2018-01-02,2025-12-02
9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148.KL,,Main,True,True,2018-01-02,2025-12-01
7191,ADVENTA BERHAD,7191.KL,,Main,True,True,2018-01-02,2025-12-02
7146,AE MULTI HOLDINGS BERHAD,7146.KL,,Main,True,True,2018-01-02,2025-12-01
6599,AEON CO. (M) BHD,6599.KL,,Main,True,True,2018-01-02,2025-12-02
5139,AEON CREDIT SERVICE (M) BERHAD,5139.KL,,Main,True,True,2018-01-02,2025-12-02
5185,AFFIN BANK BERHAD,5185.KL,,Main,True,True,2018-01-02,2025-12-02
7315,AHB HOLDINGS BERHAD,7315.KL,,Main,True,True,2018-01-02,2025-12-02
7078,AHMAD ZAKI RESOURCES BERHAD,7078.KL,,Main,True,True,2018-01-02,2025-12-02
5099,AIRASIA GROUP BERHAD,5099.KL,,Main,True,True,2018-01-02,2025-12-02
5238,AIRASIA X BERHAD,5238.KL,,Main,True,True,2018-01-02,2025-12-02
2658,AJINOMOTO (MALAYSIA) BERHAD,2658.KL,,Main,True,True,2018-01-02,2025-12-02
7609,AJIYA BERHAD,7609.KL,,Main,True,True,2018-01-02,2025-12-02
5116,AL-`AQAR HEALTHCARE REIT,5116.KL,,Main,True,True,2018-01-02,2025-12-02
5269,AL-SALAM REAL ESTATE INVESTMENT TRUST,5269.KL,,Main,True,True,2018-01-02,2025-12-01
5115,ALAM MARITIM RESOURCES BERHAD,5115.KL,,Main,True,True,2018-01-02,2025-12-02
2674,ALCOM GROUP BERHAD,2674.KL,,Main,True,True,2018-01-02,2025-12-02
2488,ALLIANCE BANK MALAYSIA BERHAD,2488.KL,,Main,True,True,2018-01-02,2025-12-02
1163,ALLIANZ MALAYSIA BERHAD,1163.KL,,Main,True,True,2018-01-02,2025-12-02
2682,AMALGAMATED INDUSTRIAL STEEL BERHAD,2682.KL,,Main,True,True,2018-01-02,2025-12-01
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127.KL,,Main,True,True,2018-01-02,2025-12-02
5120,AMFIRST REAL ESTATE INVESTMENT TRUST,5120.KL,,Main,True,True,2018-01-02,2025-12-02
1015,AMMB HOLDINGS BERHAD,1015.KL,,Main,True,True,2018-01-02,2025-12-02
7031,AMTEL HOLDINGS BERHAD,7031.KL,,Main,True,True,2018-01-02,2025-12-01
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,6351.KL,,Main,True,True,2018-01-02,2025-12-02
7083,ANALABS RESOURCES BERHAD,7083.KL,,Main,True,True,2018-01-02,2025-12-01
4758,ANCOM BERHAD,4758.KL,,Main,True,True,2018-01-02,2025-12-02
6556,ANN JOO RESOURCES BERHAD,6556.KL,,Main,True,True,2018-01-02,2025-12-02
5568,APB RESOURCES BERHAD,5568.KL,,Main,True,True,2018-01-02,2025-12-02
5088,APEX EQUITY HOLDINGS BERHAD,5088.KL,,Main,True,True,2018-01-02,2025-12-01
7090,APEX HEALTHCARE BERHAD,7090.KL,,Main,True,True,2018-01-02,2025-12-02
5015,APM AUTOMOTIVE HOLDINGS BERHAD,5015.KL,,Main,True,True,2018-01-02,2025-12-02
6432,APOLLO FOOD HOLDINGS BERHAD,6432.KL,,Main,True,True,2018-01-02,2025-12-02
7007,ARK RESOURCES HOLDINGS BERHAD,7007.KL,,Main,True,True,2018-01-02,2025-12-01
7722,ASIA BRANDS BERHAD,7722.KL,,Main,True,True,2018-01-02,2025-12-01
7129,ASIA FILE CORPORATION BHD,7129.KL,,Main,True,True,2018-01-02,2025-12-02
0159,ASIA MEDIA GROUP BERHAD,0159.KL,,Main,True,True,2018-01-02,2025-09-08
4057,ASIAN PAC HOLDINGS BERHAD,4057.KL,,Main,True,True,2018-01-02,2025-12-02
7162,ASTINO BERHAD,7162.KL,,Main,True,True,2018-01-02,2025-12-01
7054,ASTRAL ASIA BERHAD,7054.KL,,Main,True,True,2018-01-02,2025-12-02
6399,ASTRO MALAYSIA HOLDINGS BERHAD,6399.KL,,Main,True,True,2018-01-02,2025-12-02
8176,ATA IMS BERHAD,8176.KL,,Main,True,True,2018-01-02,2025-12-02
7048,ATLAN HOLDINGS BHD.,7048.KL,,Main,True,True,2018-01-02,2025-12-02
5130,ATRIUM REAL ESTATE INVESTMENT TRUST,5130.KL,,Main,True,True,2018-01-02,2025-12-02
7099,ATTA GLOBAL GROUP BERHAD,7099.KL,,Main,True,True,2018-01-02,2025-12-02
7181,ATURMAJU RESOURCES BERHAD,7181.KL,,Main,True,True,2018-01-02,2025-12-02
8885,AVILLION BERHAD,8885.KL,,Main,True,True,2018-01-02,2025-12-02
7579,AWC BERHAD,7579.KL,,Main,True,True,2018-01-02,2025-12-02
6888,AXIATA GROUP BERHAD,6888.KL,,Main,True,True,2018-01-02,2025-12-02
5106,AXIS REAL ESTATE INVESTMENT TRUST,5106.KL,,Main,True,True,2018-01-02,2025-12-02
2305,AYER HOLDINGS BERHAD,2305.KL,,Main,True,True,2018-01-02,2025-12-01
5021,AYS VENTURES BERHAD,5021.KL,,Main,True,True,2018-01-02,2025-12-02
7005,B.I.G. INDUSTRIES BERHAD,7005.KL,,Main,True,True,2018-01-02,2025-12-02
7251,BARAKAH OFFSHORE PETROLEUM BERHAD,7251.KL,,Main,True,True,2018-01-02,2025-12-01
1899,BATU KAWAN BERHAD,1899.KL,,Main,True,True,2018-01-02,2025-12-02
6602,BCB BERHAD,6602.KL,,Main,True,True,2018-01-02,2025-12-02
5190,BENALEC HOLDINGS BERHAD,5190.KL,,Main,True,True,2018-01-02,2025-12-02
3239,BERJAYA ASSETS BERHAD,3239.KL,,Main,True,True,2018-01-02,2025-12-01
3395,BERJAYA CORPORATION BERHAD,3395.KL,,Main,True,True,2018-01-02,2025-12-02
5196,BERJAYA FOOD BERHAD,5196.KL,,Main,True,True,2018-01-02,2025-12-02
4219,BERJAYA LAND BERHAD,4219.KL,,Main,True,True,2018-01-02,2025-12-02
1562,BERJAYA SPORTS TOTO BERHAD,1562.KL,,Main,True,True,2018-01-02,2025-12-02
