"Date","Price","Open","High","Low","Change %"
"12/01/2025","3.476","3.476","3.476","3.476","0.09%"
"11/28/2025","3.473","3.446","3.473","3.446","0.78%"
"11/27/2025","3.446","3.428","3.446","3.428","0.53%"
"11/26/2025","3.428","3.434","3.434","3.428","-0.17%"
"11/25/2025","3.434","3.439","3.439","3.434","-0.12%"
"11/24/2025","3.438","3.440","3.440","3.438","-0.06%"
"11/23/2025","3.440","3.440","3.440","3.440","0.03%"
"11/21/2025","3.439","3.440","3.440","3.437","-0.03%"
"11/20/2025","3.440","3.446","3.446","3.440","-0.20%"
"11/19/2025","3.447","3.455","3.455","3.447","-0.23%"
"11/18/2025","3.455","3.455","3.455","3.453","0.00%"
"11/17/2025","3.455","3.449","3.570","3.449","0.17%"
"11/16/2025","3.449","3.449","3.570","3.449","0.00%"
"11/14/2025","3.449","3.455","3.455","3.449","-0.20%"
"11/13/2025","3.456","3.483","3.484","3.456","-0.78%"
"11/12/2025","3.483","3.509","3.509","3.483","-0.74%"
"11/11/2025","3.509","3.507","3.511","3.507","0.03%"
"11/10/2025","3.508","3.502","3.508","3.501","0.20%"
"11/09/2025","3.501","3.502","3.502","3.501","-0.03%"
"11/07/2025","3.502","3.514","3.514","3.502","-0.37%"
"11/06/2025","3.515","3.514","3.523","3.513","0.06%"
"11/05/2025","3.513","3.513","3.513","3.513","-0.03%"
"11/04/2025","3.514","3.508","3.514","3.508","0.20%"
"11/03/2025","3.507","3.507","3.507","3.507","0.09%"
"10/31/2025","3.504","3.507","3.507","3.504","-0.09%"
"10/30/2025","3.507","3.483","3.507","3.482","0.72%"
"10/29/2025","3.482","3.481","3.482","3.481","0.03%"
"10/28/2025","3.481","3.484","3.484","3.481","-0.23%"
"10/27/2025","3.489","3.486","3.489","3.486","0.09%"
"10/26/2025","3.486","3.486","3.486","3.486","0.00%"
"10/24/2025","3.486","3.486","3.486","3.486","0.20%"
"10/23/2025","3.479","3.496","3.496","3.479","-0.51%"
"10/22/2025","3.497","3.492","3.499","3.492","0.09%"
"10/21/2025","3.494","3.471","3.494","3.471","0.78%"
"10/17/2025","3.467","3.477","3.477","3.467","-0.26%"
"10/16/2025","3.476","3.473","3.476","3.473","0.06%"
"10/15/2025","3.474","3.476","3.476","3.474","-0.09%"
"10/14/2025","3.477","3.484","3.484","3.477","-0.17%"
"10/13/2025","3.483","3.490","3.490","3.483","-0.20%"
"10/12/2025","3.490","3.490","3.490","3.490","0.03%"
"10/10/2025","3.489","3.498","3.499","3.489","-0.29%"
"10/09/2025","3.499","3.511","3.512","3.499","-0.09%"
"10/08/2025","3.502","3.489","3.502","3.489","0.37%"
"10/07/2025","3.489","3.487","3.489","3.487","0.06%"
"10/06/2025","3.487","3.468","3.487","3.468","0.93%"
"10/03/2025","3.455","3.434","3.455","3.434","0.61%"
"10/02/2025","3.434","3.466","3.466","3.434","-0.92%"
"10/01/2025","3.466","3.459","3.466","3.459","0.17%"
"09/30/2025","3.460","3.462","3.462","3.458","-0.03%"
"09/29/2025","3.461","3.470","3.471","3.427","-0.29%"
"09/28/2025","3.471","3.470","3.471","3.470","0.00%"
"09/26/2025","3.471","3.465","3.471","3.465","0.43%"
"09/25/2025","3.456","3.440","3.456","3.440","0.44%"
"09/24/2025","3.441","3.428","3.441","3.428","0.38%"
"09/23/2025","3.428","3.437","3.437","3.428","-0.29%"
"09/22/2025","3.438","3.413","3.450","3.413","0.70%"
"09/19/2025","3.414","3.396","3.414","3.395","0.53%"
"09/18/2025","3.396","3.407","3.407","3.393","-0.32%"
"09/17/2025","3.407","3.425","3.425","3.407","-0.35%"
"09/12/2025","3.419","3.419","3.419","3.360","0.00%"
"09/11/2025","3.419","3.408","3.419","3.408","0.35%"
"09/10/2025","3.407","3.404","3.407","3.404","0.09%"
"09/09/2025","3.404","3.407","3.407","3.404","-0.09%"
"09/08/2025","3.407","3.407","3.407","3.407","-0.23%"
"09/04/2025","3.415","3.407","3.419","3.407","-0.12%"
"09/03/2025","3.419","3.407","3.419","3.407","0.35%"
"09/02/2025","3.407","3.400","3.407","3.396","0.32%"
"08/29/2025","3.396","3.397","3.398","3.396","0.00%"
"08/28/2025","3.396","3.397","3.399","3.396","-0.03%"
"08/27/2025","3.397","3.392","3.397","3.392","0.35%"
"08/26/2025","3.385","3.374","3.385","3.374","0.33%"
"08/25/2025","3.374","3.393","3.394","3.374","-0.59%"
"08/24/2025","3.394","3.393","3.394","3.393","0.00%"
"08/22/2025","3.394","3.394","3.394","3.394","0.15%"
"08/21/2025","3.389","3.383","3.389","3.383","0.15%"
"08/20/2025","3.384","3.387","3.387","3.384","-0.18%"
"08/19/2025","3.390","3.384","3.390","3.381","0.44%"
"08/18/2025","3.375","3.370","3.375","3.369","0.18%"
"08/17/2025","3.369","3.370","3.370","3.369","0.09%"
"08/15/2025","3.366","3.366","3.366","3.366","0.00%"
"08/14/2025","3.366","3.378","3.378","3.366","-0.44%"
"08/13/2025","3.381","3.381","3.390","3.381","0.00%"
"08/12/2025","3.381","3.371","3.393","3.371","0.30%"
"08/11/2025","3.371","3.368","3.371","3.368","0.27%"
"08/08/2025","3.362","3.375","3.375","3.362","-0.39%"
"08/07/2025","3.375","3.391","3.391","3.375","-0.44%"
"08/06/2025","3.390","3.390","3.390","3.386","-0.03%"
"08/05/2025","3.391","3.396","3.396","3.391","-0.24%"
"08/04/2025","3.399","3.399","3.399","3.399","-0.09%"
"08/01/2025","3.402","3.378","3.402","3.378","0.74%"
"07/31/2025","3.377","3.375","3.377","3.375","0.09%"
"07/30/2025","3.374","3.378","3.378","3.372","-0.18%"
"07/29/2025","3.380","3.378","3.380","3.378","0.15%"
"07/28/2025","3.375","3.387","3.387","3.375","-0.35%"
"07/27/2025","3.387","3.387","3.387","3.387","0.00%"
"07/25/2025","3.387","3.408","3.408","3.387","-0.62%"
"07/24/2025","3.408","3.417","3.417","3.408","-0.26%"
"07/23/2025","3.417","3.423","3.423","3.417","-0.35%"
"07/22/2025","3.429","3.432","3.432","3.429","-0.09%"
"07/21/2025","3.432","3.428","3.432","3.428","0.12%"
"07/18/2025","3.428","3.426","3.428","3.426","0.06%"
"07/17/2025","3.426","3.439","3.439","3.426","-0.35%"
"07/16/2025","3.438","3.453","3.453","3.438","-0.43%"
"07/15/2025","3.453","3.447","3.453","3.447","0.35%"
"07/14/2025","3.441","3.438","3.441","3.395","0.09%"
"07/13/2025","3.438","3.438","3.438","3.438","0.00%"
"07/11/2025","3.438","3.429","3.438","3.429","0.26%"
"07/10/2025","3.429","3.441","3.441","3.429","-0.35%"
"07/09/2025","3.441","3.441","3.441","3.441","0.09%"
"07/08/2025","3.438","3.447","3.447","3.438","-0.26%"
"07/07/2025","3.447","3.447","3.447","3.447","0.00%"
"07/06/2025","3.447","3.447","3.447","3.447","0.19%"
"07/04/2025","3.441","3.445","3.447","3.441","0.19%"
"07/03/2025","3.434","3.450","3.450","3.441","-0.25%"
"07/02/2025","3.443","3.450","3.450","3.450","-0.10%"
"07/01/2025","3.446","3.465","3.465","3.453","-2.14%"
"06/30/2025","3.522","3.529","3.529","3.529","0.00%"
"06/26/2025","3.522","3.570","3.570","3.529","-0.79%"
"06/25/2025","3.549","3.570","3.570","3.559","-0.36%"
"06/24/2025","3.563","3.580","3.580","3.570","-0.84%"
"06/23/2025","3.592","3.594","3.600","3.594","-0.04%"
"06/22/2025","3.594","3.594","3.594","3.594","0.21%"
"06/20/2025","3.586","3.621","3.621","3.591","-0.11%"
"06/19/2025","3.591","3.592","3.594","3.592","-0.03%"
"06/18/2025","3.592","3.600","3.601","3.598","-0.06%"
"06/17/2025","3.593","3.595","3.601","3.595","0.25%"
"06/16/2025","3.585","3.576","3.592","3.572","0.84%"
"06/13/2025","3.555","3.559","3.562","3.559","0.15%"
"06/12/2025","3.549","3.565","3.565","3.556","-0.15%"
"06/11/2025","3.555","3.546","3.562","3.546","0.62%"
"06/10/2025","3.533","3.538","3.540","3.536","0.08%"
"06/09/2025","3.530","3.527","3.537","3.527","0.07%"
"06/08/2025","3.527","3.527","3.527","3.527","0.21%"
"06/06/2025","3.520","3.535","3.536","3.524","0.00%"
"06/05/2025","3.520","3.535","3.536","3.527","-0.24%"
"06/04/2025","3.528","3.534","3.536","3.534","0.13%"
"06/03/2025","3.523","3.543","3.543","3.531","-0.38%"
"06/02/2025","3.537","3.537","3.537","3.537","0.21%"
"05/30/2025","3.530","3.535","3.537","3.535","0.06%"
"05/29/2025","3.527","3.535","3.539","3.535","-0.01%"
"05/28/2025","3.528","3.543","3.543","3.536","-0.59%"
"05/27/2025","3.549","3.565","3.565","3.557","-0.36%"
"05/26/2025","3.562","3.566","3.570","3.566","-0.11%"
"05/25/2025","3.566","3.566","3.566","3.566","0.24%"
"05/23/2025","3.557","3.585","3.585","3.565","-0.67%"
"05/22/2025","3.582","3.593","3.594","3.587","-0.17%"
"05/21/2025","3.588","3.599","3.599","3.593","-0.10%"
"05/20/2025","3.591","3.612","3.621","3.595","-0.37%"
"05/19/2025","3.605","3.580","3.612","3.580","0.00%"
"05/18/2025","3.605","3.605","3.605","3.605","0.92%"
"05/16/2025","3.572","3.605","3.605","3.580","-0.71%"
"05/15/2025","3.598","3.606","3.612","3.605","0.17%"
"05/14/2025","3.592","3.643","3.643","3.594","0.11%"
"05/13/2025","3.588","3.558","3.595","3.558","1.06%"
"05/09/2025","3.550","3.608","3.609","3.557","-1.47%"
"05/08/2025","3.603","3.633","3.641","3.609","-0.66%"
"05/07/2025","3.627","3.663","3.663","3.633","-0.85%"
"05/06/2025","3.658","3.674","3.674","3.664","-0.30%"
"05/05/2025","3.669","3.673","3.676","3.673","0.05%"
"05/02/2025","3.667","3.655","3.673","3.655","0.47%"
"04/30/2025","3.650","3.657","3.657","3.656","-0.08%"
"04/29/2025","3.653","3.648","3.660","3.648","0.34%"
"04/28/2025","3.641","3.667","3.667","3.648","-0.70%"
"04/25/2025","3.666","3.676","3.676","3.673","-0.16%"
"04/24/2025","3.672","3.670","3.680","3.670","0.26%"
"04/23/2025","3.662","3.680","3.681","3.670","-0.29%"
"04/22/2025","3.673","3.655","3.681","3.655","0.70%"
"04/21/2025","3.648","3.693","3.693","3.655","-1.04%"
"04/18/2025","3.686","3.717","3.718","3.694","-0.69%"
"04/17/2025","3.711","3.725","3.725","3.717","-0.17%"
"04/16/2025","3.718","3.728","3.728","3.725","-0.08%"
"04/15/2025","3.721","3.744","3.744","3.729","-0.48%"
"04/14/2025","3.739","3.750","3.750","3.745","-0.12%"
"04/11/2025","3.743","3.729","3.751","3.729","0.60%"
"04/10/2025","3.721","3.765","3.765","3.729","-1.13%"
"04/09/2025","3.763","3.700","3.773","3.700","1.92%"
"04/08/2025","3.693","3.658","3.700","3.658","1.15%"
"04/07/2025","3.651","3.663","3.663","3.643","0.00%"
"04/04/2025","3.651","3.743","3.743","3.656","-2.33%"
"04/03/2025","3.738","3.763","3.763","3.734","-0.56%"
"04/02/2025","3.759","3.786","3.786","3.763","-0.40%"
"03/28/2025","3.774","3.783","3.783","3.779","-0.08%"
"03/27/2025","3.777","3.765","3.783","3.764","0.48%"
"03/26/2025","3.759","3.761","3.765","3.754","0.00%"
"03/25/2025","3.759","3.749","3.766","3.749","0.39%"
"03/24/2025","3.744","3.739","3.749","3.737","0.28%"
"03/21/2025","3.734","3.747","3.747","3.738","-0.23%"
"03/20/2025","3.743","3.758","3.758","3.743","-0.28%"
"03/19/2025","3.753","3.764","3.766","3.754","-0.17%"
