Code,Name,Ticker,Sector
5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250.KL,N/A
7214,A-RANK BERHAD,7214.KL,N/A
7086,ABLEGROUP BERHAD,7086.KL,N/A
5198,ABM FUJIYA BERHAD,5198.KL,N/A
7131,ACME HOLDINGS BERHAD,7131.KL,N/A
7120,ACOUSTECH BERHAD,7120.KL,N/A
1481,ADVANCE SYNERGY BERHAD,1481.KL,N/A
5281,ADVANCECON HOLDINGS BERHAD,5281.KL,N/A
9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148.KL,N/A
7191,ADVENTA BERHAD,7191.KL,N/A
7146,AE MULTI HOLDINGS BERHAD,7146.KL,N/A
6599,AEON CO. (M) BHD,6599.KL,N/A
5139,AEON CREDIT SERVICE (M) BERHAD,5139.KL,N/A
5185,AFFIN BANK BERHAD,5185.KL,N/A
7315,AHB HOLDINGS BERHAD,7315.KL,N/A
7078,AHMAD ZAKI RESOURCES BERHAD,7078.KL,N/A
5099,AIRASIA GROUP BERHAD,5099.KL,N/A
5238,AIRASIA X BERHAD,5238.KL,N/A
2658,AJINOMOTO (MALAYSIA) BERHAD,2658.KL,N/A
7609,AJIYA BERHAD,7609.KL,N/A
5116,AL-`AQAR HEALTHCARE REIT,5116.KL,N/A
5269,AL-SALAM REAL ESTATE INVESTMENT TRUST,5269.KL,N/A
5115,ALAM MARITIM RESOURCES BERHAD,5115.KL,N/A
2674,ALCOM GROUP BERHAD,2674.KL,N/A
2488,ALLIANCE BANK MALAYSIA BERHAD,2488.KL,N/A
1163,ALLIANZ MALAYSIA BERHAD,1163.KL,N/A
2682,AMALGAMATED INDUSTRIAL STEEL BERHAD,2682.KL,N/A
4952,AMANAH HARTA TANAH PNB,4952.KL,N/A
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127.KL,N/A
1007,AMCORP PROPERTIES BERHAD,1007.KL,N/A
5120,AMFIRST REAL ESTATE INVESTMENT TRUST,5120.KL,N/A
1015,AMMB HOLDINGS BERHAD,1015.KL,N/A
7051,AMTEK HOLDINGS BERHAD,7051.KL,N/A
7031,AMTEL HOLDINGS BERHAD,7031.KL,N/A
5959,AMVERTON BERHAD,5959.KL,N/A
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,6351.KL,N/A
7083,ANALABS RESOURCES BERHAD,7083.KL,N/A
4758,ANCOM BERHAD,4758.KL,N/A
6556,ANN JOO RESOURCES BERHAD,6556.KL,N/A
9342,ANZO HOLDINGS BERHAD,9342.KL,N/A
5568,APB RESOURCES BERHAD,5568.KL,N/A
5088,APEX EQUITY HOLDINGS BERHAD,5088.KL,N/A
7090,APEX HEALTHCARE BERHAD,7090.KL,N/A
5194,APFT BERHAD,5194.KL,N/A
5015,APM AUTOMOTIVE HOLDINGS BERHAD,5015.KL,N/A
6432,APOLLO FOOD HOLDINGS BERHAD,6432.KL,N/A
7007,ARK RESOURCES HOLDINGS BERHAD,7007.KL,N/A
7722,ASIA BRANDS BERHAD,7722.KL,N/A
7129,ASIA FILE CORPORATION BHD,7129.KL,N/A
0159,ASIA MEDIA GROUP BERHAD,0159.KL,N/A
4057,ASIAN PAC HOLDINGS BERHAD,4057.KL,N/A
7162,ASTINO BERHAD,7162.KL,N/A
7054,ASTRAL ASIA BERHAD,7054.KL,N/A
6399,ASTRO MALAYSIA HOLDINGS BERHAD,6399.KL,N/A
8176,ATA IMS BERHAD,8176.KL,N/A
7048,ATLAN HOLDINGS BHD.,7048.KL,N/A
5130,ATRIUM REAL ESTATE INVESTMENT TRUST,5130.KL,N/A
7099,ATTA GLOBAL GROUP BERHAD,7099.KL,N/A
7181,ATURMAJU RESOURCES BERHAD,7181.KL,N/A
8885,AVILLION BERHAD,8885.KL,N/A
7579,AWC BERHAD,7579.KL,N/A
6888,AXIATA GROUP BERHAD,6888.KL,N/A
5106,AXIS REAL ESTATE INVESTMENT TRUST,5106.KL,N/A
2305,AYER HOLDINGS BERHAD,2305.KL,N/A
5021,AYS VENTURES BERHAD,5021.KL,N/A
7005,B.I.G. INDUSTRIES BERHAD,7005.KL,N/A
7251,BARAKAH OFFSHORE PETROLEUM BERHAD,7251.KL,N/A
1899,BATU KAWAN BERHAD,1899.KL,N/A
6602,BCB BERHAD,6602.KL,N/A
5190,BENALEC HOLDINGS BERHAD,5190.KL,N/A
3239,BERJAYA ASSETS BERHAD,3239.KL,N/A
3395,BERJAYA CORPORATION BERHAD,3395.KL,N/A
5196,BERJAYA FOOD BERHAD,5196.KL,N/A
4219,BERJAYA LAND BERHAD,4219.KL,N/A
