Stock Code,Company Name
0328,3REN BERHAD
0365,A1 A.K. KOH GROUP BERHAD
0218,ACO GROUP BERHAD
0122,ADVANCE INFORMATION MARKETING BERHAD
0181,AEMULUS HOLDINGS BERHAD
0258,AGMO HOLDINGS BERHAD
0309,AGRICORE CS HOLDINGS BERHAD
0299,AGX GROUP BERHAD
0209,AIMFLEX BERHAD
0079,ALDRICH RESOURCES BERHAD
0303,ALPHA IVF GROUP BERHAD
0048,ANCOM LOGISTICS BERHAD
0226,ANEKA JARINGAN HOLDINGS BERHAD
0119,APPASIA BERHAD
0380,AQUAWALK GROUP BERHAD
0038,ARTRONIQ BERHAD
0068,ASDION BERHAD
0105,ASIA POLY HOLDINGS BERHAD
0362,ASM AUTOMATION GROUP BERHAD
0098,BAHVEST RESOURCES BERHAD
0276,AUTOCOUNT DOTCOM BERHAD
0187,BCM ALLIANCE BERHAD
0263,BETAMEK BERHAD
0195,BINASAT COMMUNICATIONS BERHAD
0179,BIOALPHA HOLDINGS BERHAD
0011,BRITE-TECH BERHAD
0313,BWYS GROUP BERHAD
0191,CABNET HOLDINGS BERHAD
0371,CAMAROE BERHAD
0335,CARLO RINO GROUP BERHAD
0173,CATCHA DIGITAL BERHAD
0339,CBH ENGINEERING HOLDING BERHAD
0238,CEKD BERHAD
0243,CENGILD MEDICAL BERHAD
0372,CHEEDING HOLDINGS BERHAD
0348,CHEMLITE INNOVATION BERHAD
0341,COLFORM GROUP BERHAD
0240,CORAZA INTEGRATED TECHNOLOGY BERHAD
0261,COSMOS TECHNOLOGY INTERNATIONAL BERHAD
0323,CREST GROUP BERHAD
0331,CROPMATE BERHAD
0281,DAYTHREE DIGITAL BERHAD
0283,DC HEALTHCARE HOLDINGS BERHAD
0152,DGB ASIA BERHAD
0131,DIVERSIFIED GATEWAY SOLUTIONS BERHAD
0205,DPI HOLDINGS BERHAD
0154,EA HOLDINGS BERHAD
0267,ECA INTEGRATED SOLUTION BERHAD
0227,ECONFRAME BERHAD
0255,ECOSCIENCE INTERNATIONAL BERHAD
0278,EDELTEQ HOLDINGS BERHAD
0107,EDUSPEC HOLDINGS BERHAD
0318,ELRIDGE ENERGY HOLDINGS BERHAD
0367,ENPROSERVE GROUP BERHAD
0317,EPB GROUP BERHAD
0072,ERDASAN GROUP BERHAD
0100,ES CERAMICS TECHNOLOGY BHD
0345,ES SUNLOGY BERHAD
0174,EVD BERHAD
0286,EVERGREEN MAX CASH CAPITAL BERHAD
0190,EVERSAFE RUBBER BERHAD
0370,EXPRESS POWERR SOLUTIONS (M) BERHAD
0304,FARM PRICE HOLDINGS BERHAD
0378,FARMIERA BERHAD
0084,TECHFAST HOLDINGS BERHAD
0355,FIBROMAT (M) BERHAD
0150,FINTEC GLOBAL BERHAD
0231,FLEXIDYNAMIC HOLDINGS BERHAD
0116,FOCUS DYNAMICS GROUP BERHAD
0382,FOODIE MEDIA BERHAD
0206,GAGASAN NADI CERGAS BERHAD
0284,GLOSTREXT BERHAD
0311,GO HUB CAPITAL BERHAD
0074,GREEN OCEAN CORPORATION BERHAD
0237,HAILY GROUP BERHAD
0359,HARTANAH KENYALANG BERHAD
0060,HARVEST MIRACLE CAPITAL BERHAD
0035,HEXTAR CAPITAL BERHAD
0175,HENG HUAT RESOURCES GROUP BERHAD
0160,HIAP HUAT HOLDINGS BERHAD
0188,HLT GLOBAL BERHAD
0228,HPP HOLDINGS BERHAD
0366,ICENTS GROUP HOLDINGS BERHAD
0358,ICT ZONE ASIA BERHAD
0023,IFCA MSC BERHAD
0265,INFOMINA BERHAD
0147,INNITY CORPORATION BERHAD
0376,INSIGHTS ANALYTICS BERHAD
0010,IRIS CORPORATION BERHAD
0024,JAG BERHAD
0292,JATI TINGGI GROUP BERHAD
0369,JS SOLAR HOLDING BERHAD
0111,K-ONE TECHNOLOGY BERHAD
0170,KANGER INTERNATIONAL BERHAD
