,Vol Cap 10.0%,Vol Cap 20.0%,Weight Cap 10.0%,Weight Cap 20.0%,Weight Cap 30.0%,Base Case (Max Sharpe),Min Volatility
0154.KL,0.005338760260564908,0.012035864495726923,0.014611364487899013,0.013956906461344688,0.014494873729646793,0.014492883591249664,0.0001737614599907586
0036.KL,0.005507141851559993,0.013038672818581789,0.016355062119919245,0.015322250532559473,0.015886179097350968,0.015880793883017184,8.912543551556463e-18
0150.KL,0.005807100339395622,0.01328713825139863,0.016234821318722434,0.01547299452496077,0.016090315650010362,0.016091735128386117,0.000100849902902965
0094.KL,0.004879114696403602,0.010878406001995094,0.013776057982894774,0.012725334683129304,0.013161759376199799,0.01316163429091487,1.4175305389736814e-17
0066.KL,0.006575159929513878,0.014523352905160967,0.01773477688842924,0.01684086239739792,0.017436438430668354,0.01743847746513504,0.000447451842901906
0096.KL,0.006167448612057185,0.013754343398998508,0.017033013598594174,0.016030307443592177,0.016575661677552304,0.016568977346570556,0.00044552863145098383
0116.KL,0.004153335879749083,0.011959620243764733,0.01458513059535324,0.014042509658226695,0.014550748987311197,0.014552233124207168,4.7170199707547185e-17
0187.KL,0.006307381508855058,0.010957709350770947,0.013801371058298493,0.012579759199545962,0.012644296805696535,0.012640152734920834,0.0026226151017621543
0072.KL,0.005010493265952191,0.011730431009616942,0.01488635998101933,0.013804736520366925,0.014258487552617998,0.014250861857959558,1.3603368102641484e-17
0109.KL,0.00597839346496466,0.01320567239256438,0.016989990235852733,0.015583228854962074,0.016025178317641768,0.01601382547476583,0.0002875157778155462
0376.KL,0.16616259655627072,0.14792498100124546,0.09999999999999765,0.12916947928285097,0.08796115433499258,0.08791693422730215,0.17451585104120082
0165.KL,0.004030696025168998,0.009451417544439695,0.011256025918812201,0.010962840238671813,0.011473741677952327,0.011469827709302747,1.2642008354829663e-17
0107.KL,0.005982783997376738,0.013479821943907911,0.016924822809159794,0.015774726737693274,0.016319116847452384,0.01632497811197456,0.00021938942093999668
0152.KL,0.002119270263090754,0.004893028924066113,0.005285181775621128,0.005527893204159377,0.005833003895364087,0.005834203216173095,5.2988857193251275e-18
